Date,Day,Name of place,Location (approximate),Details,Source url,Image url,Icon 1,lon,lat,
19/11/2012,Monday,Be'er Sheva,"31.2604, 34.791",Rocket fired at Gan Yavneh. Iron Dome intercepts rocket above Be'er Sheva. No injuries or damages are reported,http://www.haaretz.com/news/diplomacy-defense/top-egyptian-official-to-haaretz-we-are-very-close-to-cease-fire-deal-1.478922,,placemark_circle_highlight,31.2604,34791,
18/11/2012,Sunday,Sha'ar Hanegev,"31.5213, 34.5918",Five rockets land in Sha'ar Hanegev, Israeli seriously wounded,http://www.haaretz.com/news/diplomacy-defense/live-blog-day-5-of-israel-s-gaza-offensive-1.478624,,placemark_circle_highlight,31.5213,34.5918
11/19/12,Monday,Rafah,"31.2871, 34.2547 ","Sabha al-Hashash, 60, was killed and three others wounded when warplanes struck the home of Mahmoud al-Hashash in Rafah. The wounded were taken to hospital with moderate injuries. ",http://www.maannews.net/eng/ViewDetails.aspx?ID=539339,,placemark_circle_highlight,31.2871,34.2547,
15/11/2012,Thursday,Be'er Sheva,"31.2592, 34.790
",15 Rockets fired at Be'er Sheva,http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31.2592,34.79,
15/11/2012,Thursday,Be'er Sheva,"31.2592, 34.790
","Two rockets fired towards Be'er Sheva, no casualties reported",http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31.2592,34.79,
15/11/2012,Thursday,Ashkelon area,"31.6712, 34.560
",a rocket struck a factory in the Ashkelon area,http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31.6712,34.56,
19/11/2012,Monday,Western Negev,"30.754, 34.88
",Four rockets fired from Gaza land in open spaces in the western Negev. No wounded or property damage reported,http://www.haaretz.com/news/diplomacy-defense/live-blog-rocket-barrage-strikes-israel-gaza-death-toll-reaches-95-1.478922,,placemark_circle_highlight,30754,34.88,
19/11/2012,Monday,Sderot,"31.5244, 34.5952
",Rocket strikes open area in Sderot,http://www.haaretz.com/news/diplomacy-defense/top-egyptian-official-to-haaretz-we-are-very-close-to-cease-fire-deal-1.478922,,placemark_circle_highlight,31.5244,34.5952,
18/11/2012,Sunday,Be'er Sheva,"31.2554, 34.771",Rocket hits home in Be'er Sheva,http://www.haaretz.com/news/diplomacy-defense/live-blog-day-5-of-israel-s-gaza-offensive-1.478624,,placemark_circle_highlight,31.2554,34771,
11/19/12,Monday,Sdot Negev,"31.4184, 34.543",Rocket hits,http://www.haaretz.com/news/diplomacy-defense/rocket-fire-on-south-resumes-idf-gaza-death-toll-reaches-95-1.478922,,placemark_circle_highlight,31.4184,34543,
15/11/2012,Thursday,Shaar Hanegev Regional Council,"31.51608, 34.59511
",Two rockets explode in open land in Shaar Hanegev Regional Council,http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31.51608,34.59511,
15/11/2012,Thursday,Khan Younis,"31.377, 34.296","IDF kills motorcyclist in Khan Younis, Gaza",http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31377,34296,
11/19/12,Monday,Ashkelon,"31.6680, 34.5799",Missile explodes near school,"http://www.ynetnews.com/articles/0,7340,L-4308122,00.html",http://www.ynetnews.com/PicServer3/2012/11/19/4281721/2012-11-19-11.11.45_wa.jpg,placemark_circle_highlight,31668,34.5799,
11/19/12,Monday,Deir al-Balah,"31.418994, 34.351603",Three killed in a strike on a civilian car,"http://www.ynetnews.com/articles/0,7340,L-4308122,00.html",http://www.ynetnews.com/PicServer3/2012/11/19/4281202/REUTERS0GZA01_PALESTINIANS-ISRAEL-_1119_11402825_wa.jpg,placemark_circle_highlight,31.418994,34.351603,
11/19/12,Monday,Rafah,"31.3085, 34.2406 ","Airstrike hit an area in the north of Rafah, killing Ahmad Hussein Agha and Saif al-Sadiq and injuring one other person",http://www.maannews.net/eng/ViewDetails.aspx?ID=539339,,placemark_circle_highlight,31.3085,34.2406,
15/11/2012,Thursday,Ashdod,"31.8116, 34.655
","Two rockets fired toward Ashdod; Iron Dome intercepts one of them, and the other explodes in open land; none wounded and no damage reported",http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31.8116,34655,
15/11/2012,Thursday,Eshkol Regional Council,"31.228, 34.468","10 rockets fired toward Eshkol Regional Council, which explode on open land; rocket explodes in open land in a community, none wounded, no damage reported",http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31228,34468,
15/11/2012,Thursday,Eshkol Regional Council,"31.232, 34.464
",4 rockets explode in Eshkol Regional Council,http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31232,34464,
15/11/2012,Thursday,Sderot ,"31.232, 34.464
",Rocket launched by Gaza militates strike house in Sderot ,http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31232,34464,
19/11/2012,Monday,Ashkelon,"31.6733, 34.560
",The IDF report that a rocket has hit a house in Ashkelon ,http://www.guardian.co.uk/world/middle-east-live/2012/nov/19/israel-gaza-hamas-rocket-fire-idf-bombing,,placemark_circle_highlight,31.6733,34.56,
15/11/2012,Thursday,Kiryat Malakhi,"31.7320, 34.7473
",Three killed in Kiryat Malakhi after succumbing to their wounds from direct rocket fire on family home. Baby girl moderately wounded.,http://www.haaretz.com/news/diplomacy-defense/live-blog-rockets-strike-tel-aviv-area-three-israelis-killed-in-attack-on-south-1.477960,,placemark_circle_highlight,31732,34.7473,
